|Dx|_inf =  0.0000007 	 |Grad|_inf =  1.5342425 


 Convergência em 3 iteracoes e tempo: 5.1620
Tensoes Nodais: Fase-Terra
Vbase:7967.434	ABC	51	Va: 0.98517 | -1.194 	Vb: 0.98433 | -121.072	Vc: 0.98877 | 118.910
Vbase:7967.434	ABC	52	Va: 0.98513 | -1.194 	Vb: 0.98428 | -121.072	Vc: 0.98875 | 118.909
Vbase:7967.434	ABC	53	Va: 0.98505 | -1.196 	Vb: 0.98419 | -121.072	Vc: 0.98871 | 118.908
Vbase:7967.434	ABC	54	Va: 0.98498 | -1.197 	Vb: 0.98411 | -121.072	Vc: 0.98868 | 118.907
Vbase:7967.434	ABC	55	Va: 0.98491 | -1.199 	Vb: 0.98403 | -121.072	Vc: 0.98865 | 118.906
Vbase:7967.434	ABC	56	Va: 0.98487 | -1.200 	Vb: 0.98397 | -121.072	Vc: 0.98863 | 118.905
Vbase:7967.434	ABC	57	Va: 0.98482 | -1.201 	Vb: 0.98392 | -121.072	Vc: 0.98861 | 118.904
Vbase:7967.434	ABC	58	Va: 0.98482 | -1.201 	Vb: 0.98392 | -121.072	Vc: 0.98861 | 118.904
Vbase:7967.434	ABC	59	Va: 0.98482 | -1.201 	Vb: 0.98392 | -121.072	Vc: 0.98861 | 118.904
Vbase:7967.434	ABC	60	Va: 0.98476 | -1.202 	Vb: 0.98384 | -121.072	Vc: 0.98858 | 118.903
Vbase:7967.434	ABC	61	Va: 0.98471 | -1.203 	Vb: 0.98378 | -121.072	Vc: 0.98856 | 118.902
Vbase:7967.434	ABC	62	Va: 0.98471 | -1.203 	Vb: 0.98378 | -121.072	Vc: 0.98856 | 118.902
Vbase:7967.434	ABC	63	Va: 0.98471 | -1.203 	Vb: 0.98378 | -121.072	Vc: 0.98856 | 118.902
Vbase:7967.434	ABC	64	Va: 0.98471 | -1.203 	Vb: 0.98378 | -121.072	Vc: 0.98856 | 118.902
Vbase:7967.434	ABC	66	Va: 0.98467 | -1.204 	Vb: 0.98374 | -121.072	Vc: 0.98854 | 118.901
Vbase:7967.434	ABC	68	Va: 0.98458 | -1.206 	Vb: 0.98363 | -121.071	Vc: 0.98850 | 118.900
Vbase:7967.434	ABC	69	Va: 0.98449 | -1.208 	Vb: 0.98352 | -121.071	Vc: 0.98846 | 118.898
Vbase:7967.434	ABC	70	Va: 0.98440 | -1.209 	Vb: 0.98342 | -121.071	Vc: 0.98842 | 118.896
Vbase:7967.434	ABC	71	Va: 0.98425 | -1.213 	Vb: 0.98324 | -121.071	Vc: 0.98835 | 118.894
