Leitura de dados da rede elétrica...
Main directory: 
 . 
Data sub-folder: 
 /REAL1058 
DBAR ok
leituraDados ok
geraGrafo ok
buscaProfundidadeAlimentadores ok
calculaPU ok
atualizaTaps ok 


busca Completa
Estimador de Estado Branch Current em Coordenadas retangulares com medidas de tensão...
numero barras: 1055
nmed: 6352
nvar: 6316
nmed_complex = 3173
nmed_tensao = 6
3


Iteracao:  0 	|Dx|_inf =  2.80513774416695538 	  


Iteracao:  1 	|Dx|_inf =  0.02434160329611825 	  


Iteracao:  2 	|Dx|_inf =  0.00004705838626588 	  


Iteracao:  3 	|Dx|_inf =  0.00000000701565609 	  

Estimação BC: 1.660378
Tensoes Nodais (p.u.):
59	Va: 0.99430 | -2.161 	Vb: 1.05000 | -118.917	Vc: 1.05407 | 117.589
60	Va: 0.99430 | -2.161 	Vb: 1.05000 | -118.917	Vc: 1.05407 | 117.590
61	Va: 0.99430 | -2.161 	Vb: 1.05000 | -118.917	Vc: 1.05407 | 117.590
62	Va: 0.99431 | -2.161 	Vb: 1.05000 | -118.917	Vc: 1.05407 | 117.590
63	Va: 0.99432 | -2.161 	Vb: 1.05001 | -118.917	Vc: 1.05406 | 117.590
64	Va: 0.99432 | -2.161 	Vb: 1.05001 | -118.917	Vc: 1.05406 | 117.590
66	Va: 0.99430 | -2.162 	Vb: 1.05000 | -118.917	Vc: 1.05407 | 117.590
68	Va: 0.99430 | -2.162 	Vb: 1.05001 | -118.917	Vc: 1.05406 | 117.591
69	Va: 0.99429 | -2.161 	Vb: 1.05002 | -118.917	Vc: 1.05405 | 117.592
70	Va: 0.99429 | -2.161 	Vb: 1.05002 | -118.917	Vc: 1.05405 | 117.592
71	Va: 0.99429 | -2.161 	Vb: 1.05002 | -118.917	Vc: 1.05405 | 117.592
72	Va: 0.99429 | -2.161 	Vb: 1.05002 | -118.917	Vc: 1.05405 | 117.592
73	Va: 0.99429 | -2.161 	Vb: 1.05002 | -118.917	Vc: 1.05405 | 117.592
74	Va: 0.99429 | -2.161 	Vb: 1.05002 | -118.917	Vc: 1.05405 | 117.592
75	Va: 0.99429 | -2.161 	Vb: 1.05003 | -118.918	Vc: 1.05411 | 117.593
76	Va: 0.99429 | -2.161 	Vb: 1.05003 | -118.917	Vc: 1.05407 | 117.593
77	Va: 0.99429 | -2.161 	Vb: 1.05005 | -118.920	Vc: 1.05421 | 117.595
78	Va: 0.99430 | -2.161 	Vb: 1.05011 | -118.928	Vc: 1.05453 | 117.599
79	Va: 0.99430 | -2.161 	Vb: 1.05011 | -118.928	Vc: 1.05453 | 117.599
80	Va: 0.99430 | -2.161 	Vb: 1.05011 | -118.928	Vc: 1.05453 | 117.599
82	Va: 0.99429 | -2.161 	Vb: 1.05003 | -118.917	Vc: 1.05407 | 117.593
83	Va: 0.99427 | -2.161 	Vb: 1.05003 | -118.918	Vc: 1.05420 | 117.594
84	Va: 0.99427 | -2.161 	Vb: 1.05003 | -118.918	Vc: 1.05420 | 117.594
85	Va: 0.99427 | -2.161 	Vb: 1.05003 | -118.918	Vc: 1.05420 | 117.594
86	Va: 0.99426 | -2.161 	Vb: 1.05003 | -118.918	Vc: 1.05420 | 117.594
88	Va: 0.99429 | -2.161 	Vb: 1.05002 | -118.917	Vc: 1.05405 | 117.592
89	Va: 0.99429 | -2.161 	Vb: 1.05002 | -118.917	Vc: 1.05405 | 117.592
90	Va: 0.99429 | -2.161 	Vb: 1.05002 | -118.917	Vc: 1.05405 | 117.592
91	Va: 0.99429 | -2.161 	Vb: 1.05004 | -118.917	Vc: 1.05405 | 117.593
92	Va: 0.99429 | -2.161 	Vb: 1.05005 | -118.917	Vc: 1.05404 | 117.593
93	Va: 0.99429 | -2.161 	Vb: 1.05007 | -118.917	Vc: 1.05404 | 117.593
95	Va: 0.99429 | -2.161 	Vb: 1.05007 | -118.917	Vc: 1.05404 | 117.593
96	Va: 0.99429 | -2.161 	Vb: 1.05007 | -118.917	Vc: 1.05404 | 117.593
98	Va: 0.99429 | -2.161 	Vb: 1.05007 | -118.917	Vc: 1.05404 | 117.593
99	Va: 0.99429 | -2.161 	Vb: 1.05011 | -118.918	Vc: 1.05402 | 117.594
100	Va: 0.99429 | -2.161 	Vb: 1.05012 | -118.918	Vc: 1.05401 | 117.594
101	Va: 0.99428 | -2.161 	Vb: 1.05012 | -118.918	Vc: 1.05401 | 117.595
103	Va: 0.99429 | -2.161 	Vb: 1.05007 | -118.917	Vc: 1.05404 | 117.593
104	Va: 0.99428 | -2.160 	Vb: 1.05007 | -118.917	Vc: 1.05404 | 117.593
106	Va: 0.99428 | -2.160 	Vb: 1.05009 | -118.919	Vc: 1.05403 | 117.593
107	Va: 0.99428 | -2.160 	Vb: 1.05012 | -118.919	Vc: 1.05403 | 117.593
108	Va: 0.99428 | -2.161 	Vb: 1.05014 | -118.919	Vc: 1.05403 | 117.593
109	Va: 0.99428 | -2.161 	Vb: 1.05016 | -118.920	Vc: 1.05402 | 117.594
110	Va: 0.99428 | -2.161 	Vb: 1.05017 | -118.920	Vc: 1.05402 | 117.594
111	Va: 0.99428 | -2.161 	Vb: 1.05017 | -118.920	Vc: 1.05402 | 117.594
112	Va: 0.99428 | -2.161 	Vb: 1.05017 | -118.920	Vc: 1.05402 | 117.594
113	Va: 0.99428 | -2.161 	Vb: 1.05017 | -118.920	Vc: 1.05402 | 117.594
114	Va: 0.99428 | -2.161 	Vb: 1.05017 | -118.920	Vc: 1.05402 | 117.594
115	Va: 0.99427 | -2.161 	Vb: 1.05017 | -118.920	Vc: 1.05402 | 117.594
116	Va: 0.99427 | -2.161 	Vb: 1.05017 | -118.920	Vc: 1.05402 | 117.594
117	Va: 0.99427 | -2.161 	Vb: 1.05017 | -118.920	Vc: 1.05402 | 117.594
119	Va: 0.99427 | -2.161 	Vb: 1.05017 | -118.920	Vc: 1.05402 | 117.594
120	Va: 0.99427 | -2.161 	Vb: 1.05017 | -118.920	Vc: 1.05402 | 117.594
121	Va: 0.99428 | -2.161 	Vb: 1.05017 | -118.920	Vc: 1.05402 | 117.594
122	Va: 0.99427 | -2.161 	Vb: 1.05017 | -118.921	Vc: 1.05409 | 117.595
123	Va: 0.99427 | -2.161 	Vb: 1.05017 | -118.921	Vc: 1.05409 | 117.595
124	Va: 0.99427 | -2.161 	Vb: 1.05017 | -118.921	Vc: 1.05409 | 117.595
125	Va: 0.99427 | -2.161 	Vb: 1.05017 | -118.921	Vc: 1.05409 | 117.595
127	Va: 0.99425 | -2.158 	Vb: 1.05017 | -118.921	Vc: 1.05409 | 117.595
128	Va: 0.99427 | -2.157 	Vb: 1.05017 | -118.921	Vc: 1.05409 | 117.595
129	Va: 0.99430 | -2.157 	Vb: 1.05017 | -118.921	Vc: 1.05409 | 117.595
130	Va: 0.99430 | -2.157 	Vb: 1.05017 | -118.921	Vc: 1.05409 | 117.595
133	Va: 0.99430 | -2.157 	Vb: 1.05017 | -118.921	Vc: 1.05409 | 117.595
136	Va: 0.99429 | -2.157 	Vb:    -    |    -   	Vc: 1.05409 | 117.597
137	Va: 0.99435 | -2.155 	Vb:    -    |    -   	Vc: 1.05409 | 117.597
139	Va: 0.99427 | -2.161 	Vb: 1.05017 | -118.921	Vc: 1.05409 | 117.595
140	Va: 0.99427 | -2.161 	Vb: 1.05017 | -118.921	Vc: 1.05409 | 117.595
142	Va: 0.99427 | -2.161 	Vb: 1.05017 | -118.921	Vc: 1.05409 | 117.595
143	Va: 0.99427 | -2.161 	Vb: 1.05017 | -118.921	Vc: 1.05409 | 117.595
144	Va: 0.99427 | -2.161 	Vb: 1.05018 | -118.921	Vc: 1.05409 | 117.595
145	Va: 0.99427 | -2.161 	Vb: 1.05018 | -118.921	Vc: 1.05409 | 117.595
146	Va: 0.99427 | -2.161 	Vb: 1.05018 | -118.921	Vc: 1.05409 | 117.595
147	Va: 0.99427 | -2.161 	Vb: 1.05018 | -118.921	Vc: 1.05409 | 117.595
148	Va: 0.99427 | -2.161 	Vb: 1.05018 | -118.921	Vc: 1.05409 | 117.595
149	Va: 0.99427 | -2.161 	Vb: 1.05018 | -118.921	Vc: 1.05409 | 117.595
151	Va: 0.99427 | -2.161 	Vb: 1.05018 | -118.921	Vc: 1.05409 | 117.595
152	Va: 0.99427 | -2.161 	Vb: 1.05018 | -118.921	Vc: 1.05409 | 117.595
153	Va: 0.99431 | -2.164 	Vb: 1.05021 | -118.921	Vc: 1.05408 | 117.594
154	Va: 0.99431 | -2.164 	Vb: 1.05022 | -118.922	Vc: 1.05408 | 117.594
155	Va: 0.99431 | -2.164 	Vb: 1.05020 | -118.922	Vc: 1.05409 | 117.590
156	Va: 0.99431 | -2.164 	Vb: 1.05020 | -118.922	Vc: 1.05409 | 117.590
