index	Dz	rN	bHat	UI
456	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
457	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
458	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
459	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
460	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
461	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
462	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
463	0.0000000000	0.0000000000	0.0000000000	0.0000000000
464	0.0000000001	0.0000000000	0.0000000000	0.0000000000
465	0.0000000000	0.0000000000	0.0000000000	0.0000000000
466	0.0000000000	0.0000000000	0.0000000000	0.0000000000
467	0.0000000001	0.0000000000	0.0000000000	0.0000000000
468	0.0000000000	0.0000000000	0.0000000000	0.0000000000
469	0.0000000000	0.0000000000	0.0000000000	0.0000000000
470	0.0000000001	0.0000000000	0.0000000000	0.0000000000
471	0.0000000000	0.0000000000	0.0000000000	0.0000000000
472	0.0000000000	0.0000000000	0.0000000000	0.0000000000
473	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
474	0.0000000000	0.0000000000	0.0000000000	0.0000000000
475	0.0000000000	0.0000000000	0.0000000000	0.0000000000
476	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
477	0.0000000000	0.0000000000	0.0000000000	0.0000000000
478	0.0000000000	0.0000000000	0.0000000000	0.0000000000
479	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
480	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
481	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
482	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
483	0.0000000000	0.0000000000	0.0000000000	0.0000000000
484	0.0000000000	0.0000000000	0.0000000000	0.0000000000
485	0.0000000000	0.0000000000	0.0000000000	0.0000000000
486	0.0000000001	0.0000000000	0.0000000000	0.0000000000
487	0.0000000000	0.0000000000	0.0000000000	0.0000000000
488	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
489	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
490	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
491	0.0000000000	0.0000000000	0.0000000000	0.0000000000
492	0.0000000000	0.0000000000	0.0000000000	0.0000000000
493	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
494	0.0133794691	1.3694844735	1.3694844735	0.0000000000
495	0.0048206382	0.7875186435	0.7875186435	0.0000000000
496	0.0006506006	0.0811654202	0.0811654202	0.0000000000
497	0.0000000000	0.0000000000	0.0000000000	0.0000000000
498	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
499	-0.0000003242	0.0024391696	0.0024391696	0.0000000000
500	0.0000035986	0.0134800963	0.0134800963	0.0000000000
501	-0.0000045175	0.0168753567	0.0168753567	0.0000000000
502	-0.0000012929	0.0048192682	0.0048192682	0.0000000000
503	-0.0020832811	0.5079301144	0.5079301144	0.0000000000
504	-0.0020387252	1.0888256129	1.0888256129	0.0000000000
505	-0.0031577904	1.1383147720	1.1383147720	0.0000000000
506	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
507	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
508	-0.0000002121	0.0031955751	0.0031955751	0.0000000000
509	-0.0000006968	0.0051787356	0.0051787356	0.0000000000
510	-0.0000013396	0.0100312419	0.0100312419	0.0000000000
511	-0.0000008469	0.0064059253	0.0064059253	0.0000000000
512	-0.0021873703	0.2221960574	0.2221960574	0.0000000000
513	0.0036698652	0.5940308588	0.5940308588	0.0000000000
514	-0.0019336564	0.2414902201	0.2414902201	0.0000000000
515	0.0000269737	0.0672207384	0.0672207384	0.0000000000
516	-0.0044448152	0.8707777498	0.8707777498	0.0000000000
517	-0.0013763294	0.3517689996	0.3517689996	0.0000000000
518	-0.0003715613	0.0860589337	0.0860589337	0.0000000000
519	-0.0000038901	0.0019274179	0.0019274179	0.0000000000
520	0.0002938446	0.1732552340	0.1732552340	0.0000000000
521	-0.0001495687	0.1121280223	0.1121280223	0.0000000000
522	-0.0000015827	0.0059328098	0.0059328098	0.0000000000
523	0.0000149380	0.0562207766	0.0562207766	0.0000000000
524	0.0020772949	0.5456378207	0.5456378207	0.0000000000
525	0.0017821453	0.6433230515	0.6433230515	0.0000000000
526	-0.0001947741	0.0641949468	0.0641949468	0.0000000000
527	0.0000000000	0.0000000000	0.0000000000	0.0000000000
528	0.0000000000	0.0000000000	0.0000000000	0.0000000000
529	0.0000000000	0.0000000000	0.0000000000	0.0000000000
530	-0.0001327317	0.1408932865	0.1408932865	0.0000000000
531	0.0001290066	0.2381489845	0.2381489845	0.0000000000
532	-0.0000416740	0.0624220438	0.0624220438	0.0000000000
533	-0.0161819581	1.6235883385	1.6235883385	0.0000000000
534	0.0013045725	0.2123071663	0.2123071663	0.0000000000
535	-0.0053189973	0.6602911074	0.6602911074	0.0000000000
536	-0.0023934005	0.5878183301	0.5878183301	0.0000000000
537	0.0002843208	0.1528021684	0.1528021684	0.0000000000
538	-0.0021396289	0.7812352691	0.7812352691	0.0000000000
539	-0.0000087328	0.0438471306	0.0438471306	0.0000000000
540	-0.0002023239	0.1734785752	0.1734785752	0.0000000000
541	0.0000018068	0.0051078092	0.0051078092	0.0000000000
542	-0.0000021799	0.0034396943	0.0034396943	0.0000000000
543	0.0000004471	0.0003681952	0.0003681952	0.0000000000
544	-0.0000194231	0.0174024748	0.0174024748	0.0000000000
545	-0.0000079721	0.0094965739	0.0094965739	0.0000000000
546	-0.0000080297	0.0596632081	0.0596632081	0.0000000000
547	-0.0000014690	0.0109739738	0.0109739738	0.0000000000
548	0.0000166856	0.0533507996	0.0533507996	0.0000000000
549	0.0000111548	0.0359139692	0.0359139692	0.0000000000
550	0.0000019765	0.0123339101	0.0123339101	0.0000000000
551	0.0000000000	0.0000000000	0.0000000000	0.0000000000
552	0.0000000000	0.0000000000	0.0000000000	0.0000000000
553	0.0000000000	0.0000000000	0.0000000000	0.0000000000
554	-0.0000116731	0.0244249913	0.0244446452	0.0401244248
555	-0.0000256941	0.0966792186	0.0974876889	0.1295944793
556	-0.0000120608	0.0359950262	0.0359950262	0.0000000000
557	-0.0011616499	0.2837154798	0.2837154798	0.0000000000
558	0.0025092062	1.3624061325	1.3624061325	0.0000095895
559	0.0011389475	0.4149393470	0.4149393471	0.0000259599
560	-0.0106679609	1.6241697659	1.6241697660	0.0000109071
561	0.0007513705	0.1127495924	0.1127495924	0.0000107976
562	0.0037638358	0.5628646881	0.5628646881	0.0000000614
563	-0.0013915051	0.2010750139	0.2010751806	0.0012877310
564	0.0056333215	0.8061609868	0.8061610159	0.0002687157
565	-0.0030033155	0.4331844583	0.4331845388	0.0006097667
566	0.0120653627	1.7353724160	1.7353724160	0.0000000000
567	-0.0047648427	0.6923034023	0.6923034023	0.0000000000
568	0.0009879818	0.1433204673	0.1433204673	0.0000006391
