index	Dz	rN	bHat	UI
51	0.0018249790	0.2656502074	0.2656505996	0.0017182982
52	-0.0000211375	0.0054634823	0.0054634830	0.0004936401
53	-0.0010755462	0.1667561262	0.1667563090	0.0014804051
54	0.0006073129	0.1532998067	0.1533003870	0.0027516710
55	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
56	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
57	0.0005330762	0.1436898756	0.1436957670	0.0090555965
58	-0.0000057424	0.0028752586	0.0028753303	0.0070658859
59	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
60	0.0000000000	0.0000000000	0.0000000000	0.0000000000
61	0.0032350281	0.7548185662	0.7548185816	0.0002022220
62	0.0000000001	0.0000000000	0.0000000000	0.0000000000
63	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
64	0.0029827343	0.7300329630	0.7300365093	0.0031169450
65	0.0000000001	0.0000000000	0.0000000000	0.0000000000
66	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
67	0.0006580519	0.3444262682	0.3444262682	0.0000000000
68	0.0000000001	0.0000000000	0.0000000000	0.0000000000
69	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
70	0.0000000001	0.0000000000	0.0000000000	0.0000000000
71	0.0005838596	0.3127388952	0.3127388952	0.0000000000
72	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
73	0.0007532158	0.3569802353	0.3569802353	0.0000000000
74	0.0008653595	0.3827424084	0.3827424084	0.0000000000
75	0.0008572212	0.4073396918	0.4073402846	0.0017061564
76	0.0000000001	0.0000000000	0.0000000000	0.0000000000
77	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
78	0.0000000001	0.0000000000	0.0000000000	0.0000000000
79	0.0000000001	0.0000000000	0.0000000000	0.0000000000
80	-0.0006485183	0.1560463362	0.1560463896	0.0008276975
81	0.0029643065	0.7583718435	0.7583718435	0.0000000000
82	0.0000000001	0.0000000000	0.0000000000	0.0000000000
83	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
84	0.0000000001	0.0000000000	0.0000000000	0.0000000000
85	0.0152233729	1.6245697630	1.6245697630	0.0000000000
86	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
87	0.0033701995	0.8093499700	0.8093499700	0.0000000000
88	0.0019727580	0.5850176032	0.5850176032	0.0000000000
89	-0.0017297116	0.2560703510	0.2560710606	0.0023541650
90	0.0000000001	0.0000000000	0.0000000000	0.0000000000
91	0.0000000001	0.0000000000	0.0000000000	0.0000000000
92	-0.0018208735	0.2629285788	0.2629285788	0.0000000000
93	0.0002183500	0.1047261542	0.1047261542	0.0000000000
94	0.0009073338	0.2135362214	0.2135362214	0.0000000000
95	0.0001929393	0.0984998963	0.0985142720	0.0170854649
96	0.0006656769	0.1829603283	0.1829697839	0.0101668815
97	-0.0002818757	0.0701745285	0.0701748343	0.0029520347
98	-0.0002771311	0.0699128716	0.0699133741	0.0037913976
99	-0.0003633333	0.0802841817	0.0802865866	0.0077402872
100	0.0053214261	0.5174424912	0.5174428559	0.0011872446
101	-0.0024706353	0.3904813082	0.3904813082	0.0000000000
102	-0.0007124908	0.1115728761	0.1115746527	0.0056432652
103	0.0000000000	0.0000000000	0.0000000000	0.0000000000
104	-0.0011282867	0.2646212023	0.2646213373	0.0010100888
105	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
106	0.0010377286	0.2286013617	0.2286014498	0.0008775288
107	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
108	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
109	0.0000000000	0.0000000000	0.0000000000	0.0000000000
110	-0.0007436252	0.2154538668	0.2154538830	0.0003874610
111	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
112	0.0007064026	0.1888025026	0.1888439720	0.0209603627
113	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
114	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
115	-0.0000642551	0.0344051883	0.0344052832	0.0023491031
116	-0.0002755180	0.0714420686	0.0714427384	0.0043301293
117	0.0000000000	0.0000000000	0.0000000000	0.0000000000
118	-0.0002543207	0.1259351546	0.1259411010	0.0097179105
119	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
120	0.0000000000	0.0000000000	0.0000000000	0.0000000000
121	-0.0009533311	0.2444973511	0.2444973511	0.0000000000
122	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
123	0.0010152054	0.2266248406	0.2266255642	0.0025271295
124	0.0000000000	0.0000000000	0.0000000000	0.0000000000
125	-0.0002753821	0.1317562340	0.1317590035	0.0064838434
126	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
127	-0.0002502987	0.1256556581	0.1256556581	0.0000000000
128	0.0010676612	0.2314926995	0.2314927640	0.0007459748
129	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
130	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
131	0.0000000000	0.0000000000	0.0000000000	0.0000000000
132	-0.0011207167	0.2616569420	0.2616570567	0.0009363437
133	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
134	0.0000000000	0.0000000000	0.0000000000	0.0000000000
135	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
136	-0.0003286752	0.0751903630	0.0751903664	0.0003020949
137	0.0003106973	0.1542204080	0.1542273615	0.0094961900
138	0.0012238739	0.3066571468	0.3066571653	0.0003479486
139	0.0014097079	0.3298188713	0.3298190163	0.0009377730
140	-0.0046938228	1.5321271281	1.5321273190	0.0004991329
141	-0.0073505024	1.9181779364	1.9181779364	0.0000000000
142	0.0032248661	0.8067572929	0.8067576775	0.0009763938
143	0.0007182441	0.3814727680	0.3814947970	0.0107469857
144	0.0012222345	0.4976060196	0.4976061131	0.0006127995
145	0.0040442640	0.9065085388	0.9065085388	0.0000000000
146	0.0010379542	0.4593881511	0.4593881511	0.0000000000
147	-0.0001726612	0.0884867696	0.0884900690	0.0086357513
148	0.0000000000	0.0000000000	0.0000000000	0.0000000000
149	0.0000000000	0.0000000000	0.0000000000	0.0000000000
150	0.0000547985	0.0638165448	0.0638165448	0.0000000000
151	0.0001334165	0.0578962084	0.0578962084	0.0000000000
152	0.0000361707	0.0301441745	0.0301474445	0.0147299062
153	0.0000876837	0.0469222955	0.0469224161	0.0022664787
154	-0.0000387871	0.0407162226	0.0407195755	0.0128336941
